Subject,Average_R2
1,0.929564754
2,0.968401274
6,0.986443569
7,0.851202293
8,0.949237159
9,0.995850494
10,0.909125127
11,0.916089449
16,0.96587739
18,0.969997194
20,0.933671919
51,0.872156933
56,0.944572907
63,0.990627013
80,0.983482645
87,0.893941231
109,0.990024532
135,0.992172899
140,0.951829096
147,0.969490606
149,0.946821473
191,0.892831415
196,0.947598205
198,0.986059107
219,0.988506195
222,0.993853965
225,0.955613671
250,0.96423556
259,0.924792633
262,0.925334359
265,0.973282929
281,0.992340974
286,0.974918504
288,0.953800814
301,0.973198451
306,0.971338518
308,0.951440835
341,0.887425468
373,0.573368675
374,0.990231847
390,0.921968584
397,0.977609511
402,0.851799338
405,0.921795796
430,0.962918086
437,0.875283337
470,0.995567072
477,0.984197905
479,0.973298156
513,0.921609973
521,0.970303159
526,0.781521971
528,0.946524066
553,0.949033737
568,0.947570881
582,0.947932578
585,0.995826464
603,0.838017164
604,0.868793542
631,0.945289557
636,0.968876707
638,0.959181862
643,0.973155153
644,0.937825341
678,0.989953921
692,0.990971189
695,0.956650246
712,0.988265427
715,0.955724018
720,0.983583114
727,0.964700196
767,0.907679174
769,0.988910188
802,0.814952039
805,0.988688183
839,0.95086048
842,0.94330863
845,0.939475436
870,0.970189086
877,0.884526889
879,0.937899049
893,0.927574974
894,0.935391918
921,0.956122365
926,0.966982359
928,0.957083146
953,0.98164024
954,0.970158235
961,0.983569203
982,0.93935199
985,0.989557182
1003,0.986409341
1004,0.944316572
1038,0.966036022
1043,0.970119917
1044,0.989995481
1071,0.986187153
1076,0.971966075
1078,0.991674914
1095,0.988840766
1120,0.938761073