Subject,Offset_sp,Exponent_sp,Error_sp,R^2_sp
11,6.933573083,1.363939818,0.051281007,0.989742767
16,6.560709424,1.345736138,0.046689366,0.987858933
18,6.495966172,1.412226993,0.069684158,0.989154305
51,6.521774628,1.165815096,0.063476428,0.947423719
56,6.101622613,1.477276516,0.086858046,0.983889362
63,6.605996497,1.735818194,0.106838154,0.980497753
64,6.161233848,1.098901492,0.036497866,0.986570678
80,6.769937322,1.545935817,0.077915267,0.984824876
87,6.827169235,1.344027986,0.054052406,0.989578287
109,6.679237995,1.704476851,0.091592359,0.986094154
132,5.914963573,1.004131512,0.050463704,0.970824456
135,6.345222911,1.518955199,0.082987186,0.986557472
140,6.515138539,1.13804981,0.062431032,0.974360116
147,6.645107625,1.775788941,0.124310546,0.979912913
149,6.876034144,1.401691137,0.070969459,0.980881774
172,5.440076025,1.112150158,0.051929657,0.977608524
191,6.832461394,1.363676116,0.052626694,0.987055351
196,6.668896183,1.318705761,0.063850902,0.986854534
198,6.843873524,1.883780052,0.109792183,0.982759062
219,6.531884676,1.527577546,0.084100089,0.986832611
222,6.554962971,1.655812325,0.122849447,0.975073743
225,6.250583833,1.189357902,0.076821485,0.96014101
250,6.71955324,1.332779585,0.08449316,0.970761722
257,6.739435452,1.367520653,0.072292446,0.97474889
259,6.652085466,1.211920523,0.06591972,0.973683809
262,6.427624131,1.159041614,0.048966834,0.986007619
265,6.775873283,1.360781609,0.065176108,0.980488316
281,6.409107872,1.545991175,0.101060186,0.982865374
286,6.574968356,1.56236952,0.080720796,0.98654194
288,6.895263222,1.451462346,0.110479231,0.961715142
301,6.516424019,1.305963946,0.062328348,0.987937471
306,6.707142113,1.479441191,0.079060799,0.979462598
308,6.682567046,1.396232144,0.071625029,0.982744251
341,6.094222639,1.213804408,0.055865299,0.978504384
346,6.794020017,1.400149907,0.0630269,0.981394135
373,5.924238301,0.962117259,0.086812281,0.898377661
374,6.608893067,1.604685992,0.107108209,0.977632812
390,6.641224733,1.337158717,0.057041995,0.990400526
397,6.294372802,1.330542877,0.062394086,0.98995866
402,6.642744867,1.308172926,0.072544936,0.974096151
405,6.594266014,1.374581701,0.049992961,0.987876274
430,6.725900896,1.446735154,0.079208975,0.984072584
437,6.777719366,1.257387763,0.041299662,0.988675485
470,6.625592021,1.682883089,0.105627813,0.980704816
477,6.579060824,1.611297896,0.102580747,0.981087725
479,6.479804076,1.370546686,0.067659948,0.987815768
513,6.319078161,1.038418696,0.080954676,0.961500205
521,6.565101763,1.196780275,0.03930016,0.984519763
526,6.582506726,1.544552376,0.082345953,0.986313226
528,6.666206627,1.384157797,0.069397927,0.984129222
553,6.760848694,1.373153665,0.068777982,0.980218178
554,6.236406443,1.085996833,0.043129137,0.981944115
568,6.673607174,1.41557342,0.068259397,0.98803916
582,6.53182142,1.127021196,0.030617035,0.988555298
585,6.529724821,1.683960037,0.122522219,0.978677693
603,6.647216605,1.687196981,0.09058699,0.986130085
604,5.347809395,1.022482756,0.061306602,0.963302841
631,6.952346446,1.450551643,0.050592181,0.989053059
636,6.432875369,1.239682554,0.072476945,0.963018996
638,6.132135565,1.101746532,0.062077172,0.976558039
643,6.960738727,1.824938387,0.089565616,0.987349335
644,6.544289618,1.095900039,0.050448141,0.981782737
678,6.064824311,1.51916821,0.081803482,0.987320377
692,6.499339351,1.467344536,0.083895559,0.98508009
695,6.772772115,1.248917696,0.055087722,0.982882512
712,6.577228653,1.527201679,0.082507445,0.986608031
715,7.10520822,1.515382396,0.046604683,0.990693417
720,5.663412729,1.344158506,0.089396129,0.977935985
727,6.933559456,1.421134268,0.061105042,0.985212396
760,6.686556982,1.281626498,0.07178608,0.978110447
767,6.911607228,1.365543893,0.053155108,0.985263607
769,6.559737345,1.529617636,0.088294739,0.98508243
802,5.650099744,0.93848014,0.075421347,0.95477381
805,6.88137186,1.522833459,0.078010751,0.978217344
839,6.817239547,1.351664238,0.046197592,0.983481447
842,6.650590529,1.188789431,0.069089308,0.965101257
845,6.667748846,1.256279839,0.040937016,0.988519879
870,6.46600785,1.515205427,0.100944231,0.981482481
877,6.723580613,1.314528165,0.034627772,0.992214402
879,5.602725657,1.293823354,0.072575185,0.980156873
893,6.589606909,1.316984239,0.060743134,0.984467717
894,6.665361058,1.367296468,0.066441055,0.985857836
921,7.021438605,1.46909033,0.058884993,0.985716983
926,6.835446485,1.425935159,0.057662275,0.986971736
928,6.897345677,1.513689366,0.059358563,0.985405417
953,6.282651043,1.292513381,0.067290053,0.982487541
954,6.681985122,1.350205126,0.051069735,0.980595304
961,6.488534509,1.43012397,0.079996366,0.98245068
982,7.015234215,1.428985047,0.040651747,0.99168254
985,6.32137009,1.391145368,0.077493182,0.984663709
1003,6.765786498,1.465748129,0.078262381,0.970234226
1004,6.480686374,1.385489789,0.067774585,0.990222065
1038,7.262786029,1.589303288,0.045727218,0.990785001
1043,6.865920917,1.488095413,0.083947482,0.972966318
1044,6.495561915,1.474966967,0.094937096,0.982735384
1071,6.462664541,1.389662506,0.069571918,0.988458976
1076,6.446029744,1.327632033,0.067793337,0.988621913
1078,6.779617077,1.76052583,0.089443259,0.984746873
1095,6.529782785,1.615891107,0.088270271,0.980817025
1120,5.788736355,1.175364258,0.055374087,0.982863613