Subject,Sex,Age_group,Age_range,Average_R2
262,1,1,18-19 years,0.925334359
553,1,1,18-19 years,0.949033737
877,1,1,18-19 years,0.884526889
1,1,2,20-24 years,0.929564754
2,1,2,20-24 years,0.968401274
7,1,2,20-24 years,0.851202293
10,0,2,20-24 years,0.909125127
11,1,2,20-24 years,0.916089449
18,0,2,20-24 years,0.969997194
20,1,2,20-24 years,0.933671919
56,1,2,20-24 years,0.944572907
63,1,2,20-24 years,0.990627013
109,0,2,20-24 years,0.990024532
135,1,2,20-24 years,0.992172899
149,1,2,20-24 years,0.946821473
222,1,2,20-24 years,0.993853965
225,0,2,20-24 years,0.955613671
259,1,2,20-24 years,0.924792633
286,1,2,20-24 years,0.974918504
288,1,2,20-24 years,0.953800814
308,0,2,20-24 years,0.951440835
341,1,2,20-24 years,0.887425468
397,1,2,20-24 years,0.977609511
402,1,2,20-24 years,0.851799338
437,1,2,20-24 years,0.875283337
513,0,2,20-24 years,0.921609973
521,1,2,20-24 years,0.970303159
526,0,2,20-24 years,0.781521971
528,0,2,20-24 years,0.946524066
603,1,2,20-24 years,0.838017164
631,0,2,20-24 years,0.945289557
643,0,2,20-24 years,0.973155153
644,1,2,20-24 years,0.937825341
678,1,2,20-24 years,0.989953921
712,1,2,20-24 years,0.988265427
715,1,2,20-24 years,0.955724018
720,0,2,20-24 years,0.983583114
727,0,2,20-24 years,0.964700196
767,1,2,20-24 years,0.907679174
769,0,2,20-24 years,0.988910188
802,1,2,20-24 years,0.814952039
805,0,2,20-24 years,0.988688183
893,0,2,20-24 years,0.927574974
921,1,2,20-24 years,0.956122365
926,1,2,20-24 years,0.966982359
928,1,2,20-24 years,0.957083146
953,0,2,20-24 years,0.98164024
961,1,2,20-24 years,0.983569203
982,0,2,20-24 years,0.93935199
1003,1,2,20-24 years,0.986409341
1043,1,2,20-24 years,0.970119917
1044,1,2,20-24 years,0.989995481
1095,1,2,20-24 years,0.988840766
8,1,3,25-29 years,0.949237159
9,1,3,25-29 years,0.995850494
16,0,3,25-29 years,0.96587739
80,1,3,25-29 years,0.983482645
198,1,3,25-29 years,0.986059107
301,0,3,25-29 years,0.973198451
306,1,3,25-29 years,0.971338518
568,1,3,25-29 years,0.947570881
845,1,3,25-29 years,0.939475436
954,1,3,25-29 years,0.970158235
985,0,3,25-29 years,0.989557182
1004,0,3,25-29 years,0.944316572
1071,1,3,25-29 years,0.986187153
1078,1,3,25-29 years,0.991674914
1120,0,3,25-29 years,0.938761073
6,1,4,30-34 years,0.986443569
147,0,4,30-34 years,0.969490606
281,0,4,30-34 years,0.992340974
373,1,4,30-34 years,0.573368675
374,1,4,30-34 years,0.990231847
390,0,4,30-34 years,0.921968584
405,0,4,30-34 years,0.921795796
470,0,4,30-34 years,0.995567072
477,0,4,30-34 years,0.984197905
479,1,4,30-34 years,0.973298156
582,0,4,30-34 years,0.947932578
692,1,4,30-34 years,0.990971189
695,0,4,30-34 years,0.956650246
870,1,4,30-34 years,0.970189086
1038,0,4,30-34 years,0.966036022
191,0,5,35-39 years,0.892831415
196,0,5,35-39 years,0.947598205
250,0,5,35-39 years,0.96423556
1076,1,5,35-39 years,0.971966075
604,0,6,40-44 years,0.868793542
585,1,7,45-49 years,0.995826464
636,1,7,45-49 years,0.968876707
842,1,7,45-49 years,0.94330863
87,0,8,50-54 years,0.893941231
140,0,8,50-54 years,0.951829096
219,0,8,50-54 years,0.988506195
430,0,8,50-54 years,0.962918086
638,0,8,50-54 years,0.959181862
839,1,8,50-54 years,0.95086048
265,1,11,65-69 years,0.973282929
894,1,11,65-69 years,0.935391918
51,1,,Unknown,0.872156933
879,1,,Unknown,0.937899049